Position,Team,Points,xG+/-xG differential
16,Nottingham Forest,38,39.57+1.57
17,Everton,36,48.65+14.65
18,Leicester,34,48.99-2.01
19,Leeds,31,47.80-0.20
20,Southampton,25,39.27+3.27
1,Arsenal,86,81.18-7.82
2,Manchester City,85,84.53-6.47
3,Liverpool,79,89.13+5.13
4,Aston Villa,68,66.82-9.18
5,Tottenham,63,68.31-2.69
6,Newcastle United,57,78.55-0.45
7,Chelsea,57,77.74+4.74
8,Manchester United,54,57.83+5.83
9,West Ham,52,54.29-4.71
10,Brighton,48,58.61+4.61
11,Everton,48,60.09+21.09
12,Bournemouth,48,61.75+8.75
13,Crystal Palace,46,51.70-0.30
14,Wolverhampton Wanderers,46,49.92-0.08
15,Fulham,44,51.69+0.69
16,Brentford,39,62.59+8.59
17,Nottingham Forest,33,50.58+3.58
18,Luton,26,47.81-2.19
19,Burnley,24,42.36+2.36
20,Sheffield United,16,40.61+5.61
